issue,key,summary,status,resolution
"Task","`CONTROLLER-1959 <https://jira.opendaylight.org/browse/CONTROLLER-1959>`_","Add Scala/Akka packaging","Resolved","Done"
"Bug","CONTROLLER-1961","odl-jolokia seems to package superfluous artifacts","Resolved","Done"
